Product Type,Product Name,Partner Email,Branch Name,Duration,Intake Month,Description,Subject Area,Subject,Degree Level,Requirement Degree Level,Academic Type,Academic Score,TOEFL,IELTS,PTE,Installment Type,Accommodation Fee Type,Accommodation Amount,Accommodation Installments,Accommodation Total Fee,Tution Fee Type,Tution Installments,Tution Amount,Tution Total Fee,Overall Fees
Course,Management,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Management,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,Personnel management,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Management,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,State and municipal administration,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Social Studies and Media,Public Administration,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,Business Informatics,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Business Studies,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,Trade business,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Sales and Marketing,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,Commodity research,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Sales and Marketing,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,Jurisprudence,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Law,Legal Studies,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,Service,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Travel and Hospitality,Hospitality,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,Tourism,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Travel and Hospitality,Travel and Tourism,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,hotel business,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Travel and Hospitality,Hotel Management,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,1950,7800,9000
Course,Applied informatics,bazhenova_oa@usue.ru,Ekaterinburg Campus,4 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript legalised by ministry of forgien affairs and Ministry if Education",Applied and Pure Science,Other Applied and Pure Science Courses,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Production technology and organization of public catering,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Engineering,Vehicle Engineering,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Quality management,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Engineering,Quality Control,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Economics,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Social Studies and Media,Economics,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Management,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Management,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Personnel management,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Education Management,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,State and municipal administration,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Social Studies and Media,Public Administration,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Business Informatics,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Business Studies,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Trade business,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Sales and Marketing,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Finance and credit,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Banking and Finance,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Applied informatics,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Applied and Pure Science,Other Applied and Pure Science Courses,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2500,5000,5600
Course,Quality management,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Engineering,Quality Control,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Economics,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Social Studies and Media,Economics,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Management,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Management,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Personnel management,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Management,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,State and municipal administration,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Social Studies and Media,Public Administration,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Business Informatics,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Business Studies,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Trade business,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Sales and Marketing,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,Finance and credit,bazhenova_oa@usue.ru,Ekaterinburg Campus,2 years,,"International passport, School leaving certificate,Bachelors Degree certificate and University transcript (legalised by ministry of forgien affairs and Ministry if Education)",Business and Management,Banking and Finance,Master,,,,,,,Per year,Accommodation Fee,300,2,600,Tuition Fee ,2,2600,5200,5800
Course,FOUNDATION PROGRAMME ( Russian language),bazhenova_oa@usue.ru,Ekaterinburg Campus,1 year ,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Humanities and Languages,Languages,Certificate,,,,,,,Per year,Accommodation Fee,300,1,300,Tuition Fee ,1,2100,2100,2400
Course,GENERAL MEDICINE,kelens@mail.ru,Kazan Campus,6 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Health and Medicine,Medicine,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,6450,25800,27000
Course,PEDIATRIC MEDICINE,kelens@mail.ru,Kazan Campus,6 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Health and Medicine,Medicine,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,6450,25800,27000
Course,DENTAL MEDICINE,kelens@mail.ru,Kazan Campus,5 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Health and Medicine,Dentistry,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,6450,25800,27000
Course,PHARMACY,kelens@mail.ru,Kazan Campus,5 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Health and Medicine,Pharmacology,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,6450,25800,27000
Course,MEDICAL BIOCHEMISTRY,kelens@mail.ru,Kazan Campus,6 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Applied and Pure Science,Biomedical Sciences,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,6450,25800,27000
Course,PREVENTIVE MEDICINE,kelens@mail.ru,Kazan Campus,6 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Health and Medicine,Health and Safety,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,6450,25800,27000
Course,POWER MECHANICAL ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Power and Energy Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2800,11200,12400
Course,TECHNOLOGY OF TRANSPORTATION PROCESSES,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Vehicle Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2800,11200,12400
Course,OPERATION OF TRANSPORTATION AND TECHNOLOGICAL MACHINES AND COMPLEXES,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Vehicle Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2800,11200,12400
Course,MECHANICAL ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Mechanical Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2800,11200,12400
Course,ENGINEERING AND DESIGN PROVISION OF PRODUCTION IN MACHINE-BUILDING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Manufacturing and Production,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,2800,11200,12400
Course,LAND TRANSPORTATION-TECHNOLOGICAL MEANS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Vehicle Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,3000,12000,13200
Course,ELECTRICAL POWER ENGINEERING AND ELECTRICAL ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Electrical Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,3000,12000,13200
Course,INSTRUMENTATION ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Other Engineering Courses,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,3000,12000,13200
Course,DESIGN AND TECHNOLOGY OF ELECTRONIC EQUIPMENT,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Electronic Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,3000,12000,13200
Course,RADIO ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,Telecommunications,Bachelor,,,,,,,Per year,Accommodation Fee,300,4,1200,Tuition Fee ,4,3000,12000,13200
Course,INFO-COMMUNICATION TECHNOLOGIES AND COMMUNICATION SYSTEMS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,Telecommunications,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,RADIO-ELECTRONIC SYSTEMS AND COMPLEXES,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,Telecommunications,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,2900,11600,13600
Course,INFORMATICS AND COMPUTER ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,IT,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,2900,11600,13600
Course,SOFTWARE ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,Software,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,INFORMATION SAFETY OF AUTOMATED SYSTEMS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,Computer Information Systems,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,ECONOMICS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Social Studies and Media,Economics,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,MANAGEMENT,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Management,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,BUSINESS INFORMATICS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Business Studies,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,APPLIED INFORMATICS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Applied and Pure Science,Other Applied and Pure Science Courses,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,INFORMATION SYSTEMS AND TECHNOLOGIES,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,IT,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,INNOVATION STUDIES,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,Other Computer Science and IT Courses,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,LAW,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Law,Public Law,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,LINGUISTICS(ENGLISH LANGUAGE),ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Humanities and Languages,Languages,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,FUNDAMENTAL AND APPLIED LINGUISTICS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Humanities and Languages,Languages,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,PROFESSIONAL TRAINING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Education and Training,Other Education and Training Courses,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,STATE AND MUNICIPAL ADMINISTRATION,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Social Studies and Media,Public Administration,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,HUMAN RESOURCES MANAGEMENT,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Human Resource Management,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,CIVIL ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Civil Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,ARCHITECTURE,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Architecture and Construction,Architecture,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,MERCHANDISING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Other Business and Management Courses,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,SYSTEM ANALYSIS AND CONTROL,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Other Computer Science and IT Courses,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,MECHATRONICS AND ROBOTICS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Special Education,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,NANOTECHNOLOGIES AND MICROSYSTEM ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Special Education,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,QUALITY MANAGEMENT,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Business and Management,Special Education,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,TECHNOSPHERIC SAFETY,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Other Engineering Courses,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,APPLIED MATHEMATICS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Applied and Pure Science,Mathematics,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,TECHNOLOGICAL MACHINES AND EQUIPMENTS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Mechanical Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,HEAT POWER ENGINEERING AND HEAT ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Power and Energy Engineering,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,ADVERTISING AND PUBLIC RELATIONS,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Social Studies and Media,Public Administration,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,DESIGN,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Creative Arts and Design,Other Creative Arts and Design Courses,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,TECHNOLOGY OF ARTISTIC MATERIAL PROCESSING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Engineering,Other Engineering Courses,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,PHYSICAL TRAINING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Education and Training,Other Education and Training Courses,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3000,12000,14000
Course,SOFTWARE ENGINEERING,ryabch@istu.ru,Izhevsk Campus,4 years,,School leaving certificate ( legalised by ministry of forgien affairs and Ministry if Education) and international passport,Computer Science and IT,Software ,Bachelor,,,,,,,Per year,Accommodation Fee,500,4,2000,Tuition Fee ,4,3800,15200,17200
